country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-27,-36,-16,-54,-59,-13,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-28,-35,-15,-55,-59,-14,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-29,-34,-10,-64,-58,-12,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-30,-35,-7,-61,-53,-5,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-31,-48,-21,-62,-58,-6,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-01,-39,-18,-75,-64,-13,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-02,-36,-14,-71,-61,-13,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-03,-33,-12,-55,-60,-12,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-04,-33,-12,-61,-61,-13,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-05,-35,-9,-77,-63,-13,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-06,-27,1,-70,-53,-6,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-07,-42,-15,-64,-56,-5,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-08,-28,-9,-65,-57,-9,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-09,-33,-15,-72,-58,-12,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-10,-27,-6,-65,-57,-12,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-11,-46,-25,-50,-68,-57,20
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-12,-15,1,-54,-56,-21,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-13,-34,-13,-67,-56,-7,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-14,-49,-24,-73,-61,-4,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-15,-32,-14,-69,-56,-12,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-16,-35,-15,-73,-56,-12,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-17,-31,-12,-57,-52,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-18,-30,-14,-55,-52,-12,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-19,-30,-11,-60,-50,-10,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-20,-30,-7,-53,-50,-1,8
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-21,-42,-17,-54,-54,-1,9
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-22,-34,-17,-66,-52,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-23,-34,-14,-65,-49,-12,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-24,-33,-14,-51,-50,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-25,-37,-18,-63,-52,-13,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-26,-36,-11,-70,-52,-12,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-27,-47,-17,-81,-63,-11,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-28,-56,-27,-78,-66,-9,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-29,-40,-20,-76,-56,-12,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-06-30,-43,-24,-75,-54,-17,3
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-01,-40,-17,-66,-56,-23,1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-02,-32,-10,-63,-52,-16,6
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-03,-30,-7,-68,-50,-13,9
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-04,-29,-1,-67,-52,-5,9
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-05,-49,-17,-77,-61,-9,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-06,-33,-11,-77,-54,-14,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-07,-34,-10,-77,-53,-16,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-08,-30,-8,-63,-50,-13,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-09,-26,-5,-57,-47,-13,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-10,-26,-4,-65,-47,-11,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-11,-33,-7,-74,-55,-6,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-12,-49,-20,-74,-61,-9,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-13,-36,-16,-76,-53,-13,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-14,-33,-12,-70,-52,-14,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-15,-30,-9,-56,-50,-12,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-16,-32,-12,-63,-52,-14,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-17,-32,-9,-67,-52,-12,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-18,-37,-9,-68,-56,-7,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-19,-53,-24,-69,-61,-10,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-20,-34,-14,-68,-61,-15,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-21,-37,-15,-67,-60,-16,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-22,-36,-13,-52,-60,-15,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-23,-35,-14,-55,-61,-15,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-24,-36,-11,-65,-60,-14,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-25,-42,-11,-73,-59,-10,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-26,-59,-30,-78,-66,-14,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-07-27,-37,-17,-72,-63,-15,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-25,NA,NA,NA,NA,-46,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-19,NA,NA,NA,NA,-29,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-20,NA,NA,NA,NA,-35,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-23,NA,NA,NA,NA,-42,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-24,NA,NA,NA,NA,-42,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-25,NA,NA,NA,NA,-44,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-26,NA,NA,NA,NA,-38,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-27,NA,NA,NA,NA,-39,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-30,NA,NA,NA,NA,-26,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-31,NA,NA,NA,NA,-27,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-01,NA,NA,NA,NA,-20,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-02,NA,NA,NA,NA,-24,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-03,NA,NA,NA,NA,-23,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-07,NA,NA,NA,NA,-18,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-09,NA,NA,NA,NA,-15,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-10,NA,NA,NA,NA,-70,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-21,NA,NA,NA,NA,-42,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-01,NA,NA,NA,NA,-60,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-25,NA,NA,NA,NA,-47,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-08,NA,NA,NA,NA,14,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-09,NA,NA,NA,NA,3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-10,NA,NA,NA,NA,7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-11,NA,NA,NA,NA,-55,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-12,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-13,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-15,NA,NA,NA,NA,9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-16,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-17,NA,NA,NA,NA,10,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-18,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-19,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-20,NA,NA,NA,NA,0,NA
